id,name,cals_per_rep,cals_per_min,created_at
1,Weight Lifting: general,,2.4086,1580336048
2,Aerobics: water,,3.2043,1580336048
3,"Stretching, Hatha Yoga",,3.2043,1580336048
4,Calisthenics: moderate,,3.5914,1580336048
5,Riders: general,,4,1580336048
6,Aerobics: low impact,,4.4086,1580336048
7,Stair Step Machine: general,,4.7957,1580336048
8,Teaching aerobics,,4.7957,1580336048
9,Weight Lifting: vigorous,,4.7957,1580336048
10,"Aerobics, Step: low impact",,5.5914,1580336048
11,Aerobics: high impact,,5.5914,1580336048
12,"Bicycling, Stationary: moderate",,5.5914,1580336048
13,"Rowing, Stationary: moderate",,5.5914,1580336048
14,Calisthenics: vigorous,,6.4086,1580336048
15,Circuit Training: general,,6.4086,1580336048
16,"Rowing, Stationary: vigorous",,6.7957,1580336048
17,Elliptical Trainer: general,,7.2043,1580336048
18,Ski Machine: general,,7.5914,1580336048
19,"Aerobics, Step: high impact",,8,1580336048
20,"Bicycling, Stationary: vigorous",,8.4086,1580336048
21,Billiards,,2,1580336048
22,Bowling,,2.4086,1580336048
23,"Dancing: slow, waltz, foxtrot",,2.4086,1580336048
24,Frisbee,,2.4086,1580336048
25,"Volleyball: non-competitive, general play",,2.4086,1580336048
26,Water Volleyball,,2.4086,1580336048
27,Archery: non-hunting,,2.7957,1580336048
28,Golf: using cart,,2.7957,1580336048
29,Hang Gliding,,2.7957,1580336048
30,Curling,,3.2043,1580336048
31,Gymnastics: general,,3.2043,1580336048
32,Horseback Riding: general,,3.2043,1580336048
33,Tai Chi,,3.2043,1580336048
34,"Volleyball: competitive, gymnasium play",,3.2043,1580336048
35,Walking: 3.5 mph (17 min/mi),,3.2043,1580336048
36,Badminton: general,,3.5914,1580336048
37,Walking: 4 mph (15 min/mi),,3.5914,1580336048
38,Kayaking,,4,1580336048
39,Skateboarding,,4,1580336048
40,Snorkeling,,4,1580336048
41,Softball: general play,,4,1580336048
42,Walking: 4.5 mph (13 min/mi),,4,1580336048
