"NDB_No","Seq","Amount","Msre_Desc","Gm_Wgt","Num_Data_pts","Std_Dev"
"01001","1","1.0","pat (1"" sq, 1/3"" high)","5.0","",""
"01001","2","1.0","tbsp","14.2","",""
"01001","3","1.0","cup","227.0","",""
"01001","4","1.0","stick","113.0","",""
"01002","1","1.0","pat (1"" sq, 1/3"" high)","3.8","",""
"01002","2","1.0","tbsp","9.4","",""
"01002","3","1.0","cup","151.0","",""
"01002","4","1.0","stick","76.0","",""
"01003","1","1.0","tbsp","12.8","",""
"01003","2","1.0","cup","205.0","",""
"01004","1","1.0","oz","28.35","",""
"01004","2","1.0","cubic inch","17.0","",""
"01004","3","1.0","cup, crumbled, not packed","135.0","",""
"01005","1","1.0","cup, diced","132.0","",""
"01005","2","1.0","cup, shredded","113.0","",""
"01005","3","1.0","oz","28.35","",""
"01005","4","1.0","cubic inch","17.0","",""
"01005","5","1.0","slice (1 oz)","28.0","",""
"01006","1","1.0","oz","28.35","",""
"01006","2","1.0","cup, sliced","144.0","",""
"01006","3","1.0","cup, melted","240.0","",""
"01006","4","1.0","cubic inch","17.0","",""
"01006","5","1.0","package (4.5 oz)","128.0","",""
"01007","1","1.0","oz","28.35","",""
"01007","2","1.0","cup","246.0","",""
"01007","3","1.0","cubic inch","17.0","",""
"01007","4","1.0","wedge (1.33 oz)","38.0","",""
"01008","1","1.0","oz","28.35","",""
"01009","1","1.0","cup, diced","132.0","",""
"01009","2","1.0","cup, melted","244.0","",""
"01009","3","1.0","cup, shredded","113.0","",""
"01009","4","1.0","oz","28.35","",""
"01009","5","1.0","cubic inch","17.0","",""
"01009","6","1.0","slice (1 oz)","28.0","",""
"01010","1","1.0","oz","28.35","",""
"01011","1","1.0","cup, diced","132.0","",""
"01011","2","1.0","cup, shredded","113.0","",""
"01011","3","1.0","oz","28.35","",""
"01011","4","1.0","cubic inch","17.0","",""
"01011","5","1.0","slice (1 oz)","28.0","",""
"01012","1","4.0","oz","113.0","",""
"01012","2","1.0","cup, large curd (not packed)","210.0","",""
"01012","3","1.0","cup, small curd (not packed)","225.0","",""
"01013","1","4.0","oz","113.0","",""
"01013","2","1.0","cup (not packed)","226.0","",""
"01014","1","1.0","cup (not packed)","145.0","",""
"01014","2","4.0","oz","113.0","",""
"01015","1","4.0","oz","113.0","",""
"01015","2","1.0","cup (not packed)","226.0","",""
"01016","1","4.0","oz","113.0","",""
"01016","2","1.0","cup (not packed)","226.0","",""
"01017","1","1.0","tbsp","14.5","",""
"01017","2","1.0","cup","232.0","",""
"01017","3","1.0","tbsp, whipped","10.0","",""
"01017","4","1.0","oz","28.35","",""
"01017","5","1.0","cubic inch","16.0","",""
"01017","6","1.0","package, small (3 oz)","85.0","",""
"01018","1","1.0","oz","28.35","",""
"01018","2","1.0","package (7 oz)","198.0","",""
"01019","1","1.0","cup, crumbled","150.0","",""
"01019","2","1.0","oz","28.35","",""
"01019","3","1.0","cubic inch","17.0","",""
"01019","4","1.0","wedge (1.33 oz)","38.0","",""
"01020","1","1.0","cup, diced","132.0","",""
"01020","2","1.0","cup, shredded","108.0","",""
"01020","3","1.0","oz","28.35","",""
"01020","4","1.0","cubic inch","15.0","",""
"01020","5","1.0","slice (1 oz)","28.0","",""
"01020","6","1.0","package (8 oz)","227.0","",""
"01021","1","1.0","oz","28.35","",""
"01021","2","1.0","package (8 oz)","227.0","",""
"01022","1","1.0","oz","28.35","",""
"01022","2","1.0","package (7 oz)","198.0","",""
"01023","1","1.0","oz","28.35","",""
"01023","2","1.0","slice (1 oz)","28.0","",""
"01023","3","1.0","cubic inch","15.0","",""
"01023","4","1.0","cup, diced","132.0","",""
"01023","5","1.0","cup, shredded","108.0","",""
"01023","6","1.0","package (6 oz)","170.0","",""
"01024","1","1.0","cup","134.0","",""
"01024","2","1.0","oz","28.35","",""
"01024","3","1.0","cubic inch","18.0","",""
"01024","4","1.0","box","113.0","",""
"01024","5","1.0","package (8 oz)","227.0","",""
"01025","1","1.0","cup, diced","132.0","",""
"01025","2","1.0","cup, shredded","113.0","",""
"01025","3","1.0","oz","28.35","",""
"01025","4","1.0","cubic inch","17.0","",""
"01025","5","1.0","slice (1 oz)","28.0","",""
"01025","6","1.0","package (6 oz)","170.0","",""
"01026","1","1.0","cup, shredded","112.0","",""
"01026","2","1.0","oz","28.35","",""
"01026","3","6.0","slices","170.0","",""
"01027","1","1.0","oz","28.35","",""
"01027","2","1.0","cubic inch","18.0","",""
"01028","1","1.0","oz","28.35","",""
"01029","1","1.0","cup, diced","132.0","",""
"01029","2","1.0","cup, shredded","113.0","",""
"01029","3","1.0","oz","28.35","",""
"01029","4","1.0","cubic inch","18.0","",""
"01029","5","1.0","slice (1 oz)","28.0","",""
"01030","1","1.0","cup, diced","132.0","",""
"01030","2","1.0","cup, shredded","113.0","",""
"01030","3","1.0","oz","28.35","",""
"01030","4","1.0","cubic inch","18.0","",""
"01030","5","1.0","slice (1 oz)","28.0","",""
"01030","6","1.0","package (6 oz)","170.0","",""
