"NDB_No","Nutr_No","Isfl_Val","SD","n","Min","Max","CC","DataSrc_ID"
"01056","710","0.0","","1.0","0.0","0.0","D","31"
"01056","711","0.0","","1.0","0.0","0.0","D","31"
"01056","713","0.0","","1.0","0.0","0.0","D","31"
"01077","710","0.0","","1.0","0.0","0.0","C","31"
"01077","711","0.0","0.0","149.0","0.0","0.0","B","31,43"
"01077","713","0.0","","1.0","0.0","0.0","C","31"
"01079","710","0.0","","1.0","0.0","0.0","C","89"
"01079","711","0.0","","1.0","0.0","0.0","C","89"
"01079","712","0.0","","1.0","0.0","0.0","C","89"
"01079","713","0.0","","1.0","0.0","0.0","C","89"
"01079","715","1.0E-4","","1.0","1.0E-4","1.0E-4","","89"
"01079","716","0.0","","1.0","0.0","0.0","","89"
"01116","710","0.0","","1.0","0.0","0.0","D","31"
"01116","711","0.0","","1.0","0.0","0.0","D","31"
"01116","713","0.0","","1.0","0.0","0.0","D","31"
"01123","710","0.02","","2.0","0.0","0.03","C","31, 76a"
"01123","711","0.02","","1.0","0.01","0.02","C","31, 76a"
"01123","713","0.05","","1.0","0.05","0.05","D","31"
"01123","714","0.05","","1.0","0.05","0.05","","31"
"01123","715","0.05","","1.0","0.05","0.05","","31"
"01123","716","0.0","","1.0","0.0","0.0","","31"
"02019","710","0.01","0.0","3.0","0.01","0.01","C","57"
"02019","711","0.01","0.0","3.0","0.01","0.01","C","57"
"02019","713","0.02","0.0","3.0","0.02","0.02","C","57"
"02019","714","0.01","","1.0","0.01","0.01","","57"
"02019","715","0.01","","1.0","0.01","0.01","","57"
"02019","716","0.0","","1.0","0.0","0.0","","57"
"02046","710","0.0","","1.0","0.0","0.0","D","31"
"02046","711","0.0","","1.0","0.0","0.0","D","31"
"02046","713","0.0","","1.0","0.0","0.0","D","31"
"03841","710","0.73","0.4085094858139771","11.0","0.39","1.91","A","37,86"
"03841","711","1.367272727272727","0.3700565067416301","11.0","0.86","2.26","A","37,86"
"03841","712","0.11699999999999999","0.015670212364724212","10.0","0.09","0.14","A","37,"
"03841","713","2.205454545454545","0.7361163445592502","11.0","1.34","4.17","A","37,86"
"03843","710","6.033","0.0","6.0","6.033","6.033","B","69,70"
"03843","711","12.232999999999999","0.5059644256269406","6.0","11.433","13.033","B","69,70"
"03843","712","2.7335000000000007","0.021187260323128055","6.0","2.7","2.767","B","69,70"
"03843","713","25.817909090909094","2.8505464759533834","11.0","20.166","31.6","A","69,70,85"
"03890","710","0.75","0.0","4.0","0.75","0.75","B","69"
"03890","711","1.6","0.0","4.0","1.6","1.6","B","69"
"03890","712","0.275","0.0","4.0","0.275","0.275","B","69"
"03890","713","2.625","0.0","4.0","2.625","2.625","B","69"
"03891","710","0.9763999999999999","0.1644131381611579","5.0","0.794","1.25","B","70,75"
"03891","711","2.6922","0.45538112609110193","5.0","2.187","3.45","B","70,75"
"03891","712","0.35","0.0","2.0","0.35","0.35","B","70"
"03891","713","3.8085999999999998","0.7459885588934994","5.0","2.981","5.05","B","70,75"
"03893","710","5.7","0.0","2.0","5.7","5.7","B","70"
"03893","711","13.55","0.0","2.0","13.55","13.55","B","70"
"03893","712","2.05","0.0","2.0","2.05","2.05","B","70"
"03893","713","28.014285714285712","2.952250381137272","7.0","21.3","30.7","B","70,85"
"03931","710","7.225","0.061237243569579235","4.0","7.15","7.3","B","69,70"
"03931","711","14.75","0.2041241452319315","4.0","14.5","15.0","B","69,70"
"03931","712","3.0","0.04082482904638616","4.0","2.95","3.05","B","69,70"
"03931","713","25.0","0.08164965809277376","4.0","24.9","25.1","B","69,70"
"04044","710","0.0","0.0","3.0","0.0","0.0","B","66"
"04044","711","0.0","0.0","3.0","0.0","0.0","B","66"
