"NDB No","FdGrp_Cd","Long_Desc","SciName"
"01102","0100","Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",""
"02003","0200","Spices, basil, dried","Ocimum basilicum"
"02009","0200","Spices, chili powder",""
"02010","0200","Spices, cinnamon, ground","Cinnamomum aromaticum"
"02011","0200","Spices, cloves, ground","Syzygium aromaticum"
"02015","0200","Spices, curry powder",""
"02020","0200","Spices, garlic powder","Allium sativum"
"02021","0200","Spices, ginger, ground","Zingiber officinale"
"02024","0200","Spices, mustard seed, ground","Sinapis alba and Brassica juncea"
"02026","0200","Spices, onion powder","Allium cepa"
"02027","0200","Spices, oregano, dried","Origanum vulgare"
"02028","0200","Spices, paprika","Capsicum annuum"
"02029","0200","Spices, parsley, dried","Petroselinum crispum"
"02030","0200","Spices, pepper, black","Piper nigrum"
"02033","0200","Spices, poppy seed","Papaver somniferum"
"02043","0200","Spices, turmeric, ground","Curcuma longa L."
"03091","0300","Babyfood, vegetables, green beans, strained",""
"03104","0300","Babyfood, vegetables, squash, strained",""
"03116","0300","Babyfood, fruit, applesauce, strained",""
"03121","0300","Babyfood, vegetables, peas, strained",""
"03130","0300","Babyfood, fruit, peaches, strained",""
"03132","0300","Babyfood, fruit, pears, strained",""
"03165","0300","Babyfood, fruit, apple and blueberry, junior",""
"03166","0300","Babyfood, juice, apple",""
"03181","0300","Babyfood, cereal, barley, dry",""
"03225","0300","Babyfood, dessert, cherry vanilla pudding, junior",""
"09003","0900","Apples, raw, with skin","Malus domestica"
"09004","0900","Apples, raw, without skin","Malus domestica"
"09016","0900","Apple juice, canned or bottled, unsweetened, without added ascorbic acid",""
"09021","0900","Apricots, raw","Prunus armeniaca"
"09037","0900","Avocados, raw, all commercial varieties","Persea americana"
"09040","0900","Bananas, raw","Musa acuminata Colla"
"09042","0900","Blackberries, raw","Rubus spp."
"09050","0900","Blueberries, raw","Vaccinium spp."
"09052","0900","Blueberries, canned, heavy syrup, solids and liquids",""
"09054","0900","Blueberries, frozen, unsweetened",""
"09070","0900","Cherries, sweet, raw","Prunus avium"
"09078","0900","Cranberries, raw","Vaccinium macrocarpon"
"09079","0900","Cranberries, dried, sweetened",""
"09081","0900","Cranberry sauce, canned, sweetened",""
"09083","0900","Currants, european black, raw","Ribes nigrum"
"09086","0900","Custard-apple, (bullock's-heart), raw","Annona reticulata"
"09087","0900","Dates, deglet noor","Phoenix dactylifera"
"09088","0900","Elderberries, raw","Sambucus spp."
"09089","0900","Figs, raw","Ficus carica"
"09107","0900","Gooseberries, raw","Ribes spp."
"09112","0900","Grapefruit, raw, pink and red, all areas","Citrus paradisi"
"09124","0900","Grapefruit juice, white, canned, sweetened",""
"09135","0900","Grape juice, canned or bottled, unsweetened, without added ascorbic acid",""
"09148","0900","Kiwifruit, green, raw","Actinidia deliciosa"
"09159","0900","Limes, raw","Citrus latifolia"
"09176","0900","Mangos, raw","Mangifera indica"
"09181","0900","Melons, cantaloupe, raw","Cucumis melo"
"09184","0900","Melons, honeydew, raw","Cucumis melo"
"09191","0900","Nectarines, yellow, raw","Prunus persica var. nucipersica"
"09200","0900","Oranges, raw, all commercial varieties","Citrus sinensis"
"09202","0900","Oranges, raw, navels","Citrus sinensis"
"09209","0900","Orange juice, chilled, includes from concentrate",""
"09218","0900","Tangerines, (mandarin oranges), raw","Citrus reticulata"
"09236","0900","Peaches, raw","Prunus persica"
"09241","0900","Peaches, canned, heavy syrup pack, solids and liquids",""
"09252","0900","Pears, raw","Pyrus communis"
"09266","0900","Pineapple, raw, all varieties","Ananas comosus"
"09279","0900","Plums, raw","Prunus spp."
"09286","0900","Pomegranates, raw","Punica granatum"
"09291","0900","Plums, dried (prunes), uncooked",""
"09296","0900","Quinces, raw","Cydonia oblonga"
"09298","0900","Raisins, seedless","Vitis vinifera"
"09302","0900","Raspberries, raw","Rubus spp."
"09307","0900","Rhubarb, raw","Rheum rhabarbarum"
"09316","0900","Strawberries, raw","Fragaria X ananassa"
"09326","0900","Watermelon, raw","Citrullus lanatus"
"09370","0900","Peaches, canned, heavy syrup, drained solids",""
"09413","0900","Pears, raw, red anjou","Pyrus communis"
"09430","0900","Pineapple, raw, extra sweet variety","Ananas comosus"
"09442","0900","Pomegranate juice, bottled",""
"09500","0900","Apples, raw, red delicious, with skin","Malus domestica"
"09501","0900","Apples, raw, golden delicious, with skin","Malus domestica"
"09502","0900","Apples, raw, granny smith, with skin","Malus domestica"
"09503","0900","Apples, raw, gala, with skin","Malus domestica"
"09504","0900","Apples, raw, fuji, with skin","Malus domestica"
"11008","1100","Artichokes, (globe or french), cooked, boiled, drained, without salt",""
"11012","1100","Asparagus, cooked, boiled, drained",""
"11052","1100","Beans, snap, green, raw","Phaseolus vulgaris"
"11080","1100","Beets, raw","Beta vulgaris"
"11088","1100","Broadbeans, immature seeds, raw","Vicia faba"
"11090","1100","Broccoli, raw","Brassica oleracea var. italica"
"11091","1100","Broccoli, cooked, boiled, drained, without salt",""
"11096","1100","Broccoli raab, raw","Brassica ruvo"
"11097","1100","Broccoli raab, cooked",""
"11109","1100","Cabbage, raw","Brassica oleracea (Capitata Group)"
"11110","1100","Cabbage, cooked, boiled, drained, without salt",""
"11112","1100","Cabbage, red, raw","Brassica oleracea (Capitata Group)"
"11113","1100","Cabbage, red, cooked, boiled, drained, without salt",""
"11116","1100","Cabbage, chinese (pak-choi), raw","Brassica rapa (Chinensis Group)"
"11124","1100","Carrots, raw","Daucus carota"
