"NDB No","Nutr_No","Flav_Val","SD","N","Min","Max","CC"
"01102","734","2.18","","2.0","2.15","2.21","B"
"01102","735","0.0","","2.0","0.0","0.0","B"
"01102","736","0.0","","2.0","0.0","0.0","B"
"01102","737","0.0","","2.0","0.0","0.0","B"
"01102","738","0.0","","2.0","0.0","0.0","B"
"02003","734","0.0","","1.0","","","B"
"02003","735","0.0","","1.0","","","B"
"02003","736","0.0","","1.0","","","B"
"02003","737","0.0","","1.0","","","B"
"02003","738","0.0","","1.0","","","B"
"02009","734","0.0","","1.0","","","B"
"02009","735","0.0","","1.0","","","B"
"02009","736","0.0","","1.0","","","B"
"02009","737","0.0","","1.0","","","B"
"02009","738","0.0","","1.0","","","B"
"02010","734","256.29","","1.0","","","B"
"02010","735","1252.2","","1.0","","","B"
"02010","736","2608.63","","1.0","","","B"
"02010","737","1458.32","","1.0","","","B"
"02010","738","2508.78","","1.0","","","B"
"02011","734","0.0","","1.0","","","B"
"02011","735","0.0","","1.0","","","B"
"02011","736","0.0","","1.0","","","B"
"02011","737","0.0","","1.0","","","B"
"02011","738","0.0","","1.0","","","B"
"02015","734","9.5","","1.0","","","B"
"02015","735","22.88","","1.0","","","B"
"02015","736","41.78","","1.0","","","B"
"02015","737","0.0","","1.0","","","B"
"02015","738","0.0","","1.0","","","B"
"02020","734","0.0","","1.0","","","B"
"02020","735","0.0","","1.0","","","B"
"02020","736","0.0","","1.0","","","B"
"02020","737","0.0","","1.0","","","B"
"02020","738","0.0","","1.0","","","B"
"02021","734","0.0","","1.0","","","B"
"02021","735","0.0","","1.0","","","B"
"02021","736","0.0","","1.0","","","B"
"02021","737","0.0","","1.0","","","B"
"02021","738","0.0","","1.0","","","B"
"02024","734","0.0","","1.0","","","B"
"02024","735","0.0","","1.0","","","B"
"02024","736","0.0","","1.0","","","B"
"02024","737","0.0","","1.0","","","B"
"02024","738","0.0","","1.0","","","B"
"02026","734","0.0","","1.0","","","B"
"02026","735","0.0","","1.0","","","B"
"02026","736","0.0","","1.0","","","B"
"02026","737","0.0","","1.0","","","B"
"02026","738","0.0","","1.0","","","B"
"02027","734","0.0","","1.0","","","B"
"02027","735","0.0","","1.0","","","B"
"02027","736","0.0","","1.0","","","B"
"02027","737","0.0","","1.0","","","B"
"02027","738","0.0","","1.0","","","B"
"02028","734","0.0","","1.0","","","B"
"02028","735","0.0","","1.0","","","B"
"02028","736","0.0","","1.0","","","B"
"02028","737","0.0","","1.0","","","B"
"02028","738","0.0","","1.0","","","B"
"02029","734","0.0","","1.0","","","B"
"02029","735","0.0","","1.0","","","B"
"02029","736","0.0","","1.0","","","B"
"02029","737","0.0","","1.0","","","B"
"02029","738","0.0","","1.0","","","B"
"02030","734","0.0","","1.0","","","B"
"02030","735","0.0","","1.0","","","B"
"02030","736","0.0","","1.0","","","B"
"02030","737","0.0","","1.0","","","B"
"02030","738","0.0","","1.0","","","B"
"02033","734","0.0","","1.0","","","B"
"02033","735","0.0","","1.0","","","B"
"02033","736","0.0","","1.0","","","B"
"02033","737","0.0","","1.0","","","B"
"02033","738","0.0","","1.0","","","B"
"02043","734","0.0","","1.0","","","B"
"02043","735","0.0","","1.0","","","B"
"02043","736","0.0","","1.0","","","B"
"02043","737","0.0","","1.0","","","B"
"02043","738","0.0","","1.0","","","B"
"03091","734","0.0","","2.0","","","B"
"03091","735","0.0","","2.0","","","B"
"03091","736","0.0","","2.0","","","B"
"03091","737","0.0","","2.0","","","B"
"03091","738","0.0","","2.0","","","B"
"03104","734","0.0","","2.0","","","B"
"03104","735","0.0","","2.0","","","B"
"03104","736","0.0","","2.0","","","B"
"03104","737","0.0","","2.0","","","B"
"03104","738","0.0","","2.0","","","B"
"03116","734","6.4","","2.0","","","B"
"03116","735","3.6","","2.0","","","B"
"03116","736","9.8","","2.0","","","B"
"03116","737","6.1","","2.0","","","B"
"03116","738","0.0","","2.0","","","B"
"03121","734","0.0","","2.0","","","B"
"03121","735","0.0","","2.0","","","B"
"03121","736","0.0","","2.0","","","B"
"03121","737","0.0","","2.0","","","B"
"03121","738","0.0","","2.0","","","B"
"03130","734","3.8","0.33","4.0","3.4","4.2","B"
"03130","735","2.8","0.08","4.0","2.7","2.9","B"
"03130","736","8.75","0.69","4.0","7.9","9.6","B"
"03130","737","5.75","0.45","4.0","5.2","6.3","B"
"03130","738","0.0","0.0","4.0","0.0","0.0","B"
"03132","734","2.65","0.45","4.0","2.1","3.2","B"
"03132","735","1.8","0.24","4.0","1.5","2.1","B"
"03132","736","5.7","0.57","4.0","5.0","6.4","B"
"03132","737","3.65","0.04","4.0","3.6","3.7","B"
"03132","738","0.0","0.0","4.0","0.0","0.0","B"
"03165","734","5.1","","2.0","","","B"
"03165","735","2.8","","2.0","","","B"
"03165","736","7.8","","2.0","","","B"
"03165","737","5.2","","2.0","","","B"
"03165","738","2.2","","2.0","","","B"
"03166","734","0.19","","2.0","","","B"
"03166","735","0.19","","2.0","","","B"
"03166","736","0.47","","2.0","","","B"
"03166","737","0.09","","2.0","","","B"
"03166","738","0.0","","2.0","","","B"
"03181","734","9.3","","2.0","","","B"
"03181","735","4.5","","2.0","","","B"
"03181","736","4.1","","2.0","","","B"
"03181","737","0.0","","2.0","","","B"
"03181","738","0.0","","2.0","","","B"
"03225","734","2.7","","2.0","","","B"
"03225","735","1.7","","2.0","","","B"
"03225","736","5.2","","2.0","","","B"
"03225","737","2.9","","2.0","","","B"
"03225","738","0.0","","2.0","","","B"
"09003","734","13.23","13.06","185.0","1.02","105.81","A"
"09003","735","8.04","3.18","39.0","2.88","23.2","B"
"09003","736","24.68","7.94","27.0","11.6","49.5","B"
"09003","737","19.21","7.49","27.0","4.3","39.26","B"
"09003","738","28.8","13.27","27.0","5.2","59.93","B"
"09004","734","12.28","12.37","39.0","0.0","79.55","B"
"09004","735","6.48","1.03","4.0","5.44","7.88","B"
"09004","736","22.75","3.07","4.0","19.31","26.71","B"
"09004","737","18.92","3.04","4.0","15.27","22.51","B"
"09004","738","25.57","6.39","4.0","18.39","33.75","B"
"09016","734","4.4","4.93","32.0","0.0","17.07","B"
"09016","735","2.7","3.82","15.0","0.0","11.52","B"
"09016","736","13.31","17.58","7.0","0.0","49.98","B"
"09016","737","0.06","0.05","3.0","0.0","0.1","B"
"09016","738","0.0","0.0","3.0","0.0","0.0","B"
"09021","734","9.37","4.13","68.0","0.15","23.61","B"
"09021","735","12.41","5.51","62.0","0.01","42.1","B"
"09021","736","4.9","","2.0","","","B"
"09021","737","2.2","","2.0","","","B"
